kstar_1,kstar_2,mass_1,mass_2,porb,ecc,metallicity,tphysf,mass0_1,mass0_2,rad_1,rad_2,lum_1,lum_2,massc_1,massc_2,radc_1,radc_2,menv_1,menv_2,renv_1,renv_2,omega_spin_1,omega_spin_2,B_1,B_2,bacc_1,bacc_2,tacc_1,tacc_2,epoch_1,epoch_2,tms_1,tms_2,bhspin_1,bhspin_2,tphys,binfrac
1.0,0.0,1.834274974564604,0.6641879456208513,820.7147428283483,0.27438025272564104,0.0002,13700.0,1.834274974564604,0.6641879456208513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47213803547988764
1.0,0.0,1.5690930632302258,0.6363764679389002,78750224.76512404,0.6505589573572373,0.0002,13700.0,1.5690930632302258,0.6363764679389002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447819361484112
0.0,0.0,0.6367616659534264,0.14548010299189396,19874969.34591024,0.8413374698347433,0.0002,13700.0,0.6367616659534264,0.14548010299189396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36353475045457423
1.0,0.0,0.7593073210030089,0.11791469507223745,32914.543209630065,0.31547043588405116,0.0002,13700.0,0.7593073210030089,0.11791469507223745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3943808441084031
1.0,0.0,0.7512977214622661,0.2024581233327951,7089357.670946392,0.47435744610357067,0.0002,13700.0,0.7512977214622661,0.2024581233327951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3925223811971967
1.0,0.0,1.6269695919631686,0.21343255769275038,1040994.0147898404,0.8860950638341242,0.0002,13700.0,1.6269695919631686,0.21343255769275038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4536393150428454
0.0,0.0,0.3434517854488397,0.11423825453935715,109229.90040863794,0.15553835861422252,0.0002,13700.0,0.3434517854488397,0.11423825453935715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2553439099570137
1.0,1.0,4.472808763004634,4.292052211622775,16.03586060723508,0.29982190592207975,0.0002,13700.0,4.472808763004634,4.292052211622775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6804902015015649
0.0,0.0,0.29697762998544086,0.17962164222466653,39.04417667206375,0.6837813513231324,0.0002,13700.0,0.29697762998544086,0.17962164222466653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22986421250227956
0.0,0.0,0.3051656727944607,0.24485922376363967,543.6644034181003,0.6184027568530756,0.0002,13700.0,0.3051656727944607,0.24485922376363967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23463068367041529
0.0,0.0,0.11708023223645622,0.1047600527399762,8777.819256837578,0.6035072224134425,0.0002,13700.0,0.11708023223645622,0.1047600527399762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06674124716990575
0.0,0.0,0.6895625228138041,0.4834754481876949,118183.25541521059,0.5037398030691199,0.0002,13700.0,0.6895625228138041,0.4834754481876949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3774955670280959
0.0,0.0,0.39748763452381897,0.20799896157158348,8080731.16791271,0.45031713706272697,0.0002,13700.0,0.39748763452381897,0.20799896157158348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28095104331464055
0.0,0.0,0.20214377640647482,0.12270776957788727,14459.783094813489,0.7063508840479035,0.0002,13700.0,0.20214377640647482,0.12270776957788727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16244916170649853
1.0,0.0,0.7914403139925745,0.42233798569695985,603890.1983808484,0.47569676684075574,0.0002,13700.0,0.7914403139925745,0.42233798569695985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4016446156245214
0.0,0.0,0.15532267520853768,0.11027710369886895,87534451.29045194,0.7073045579910608,0.0002,13700.0,0.15532267520853768,0.11027710369886895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11627505354051465
0.0,0.0,0.5066345491235729,0.19146985166386693,84.10652504072694,0.5576202710041089,0.0002,13700.0,0.5066345491235729,0.19146985166386693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32347145797830745
0.0,0.0,0.2019170178215175,0.19868658679843254,45356.69079804471,0.5718200806054141,0.0002,13700.0,0.2019170178215175,0.19868658679843254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1622524604989079
0.0,0.0,0.14884596011611922,0.14699070799826985,217927.7463599663,0.7956739772786164,0.0002,13700.0,0.14884596011611922,0.14699070799826985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10881063524866538
0.0,0.0,0.6555719431797198,0.3028788223830753,42519.67295207509,0.7918717592974859,0.0002,13700.0,0.6555719431797198,0.3028788223830753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36863675903815313
